# Frequency       Real(mHT)             Imag(mHT)
112265.45485100     0.147308782584926    -1.922665637689479
112265.45520200     0.148011400819292    -1.926839145354518
112265.45555300     0.148719248279058    -1.931030995696048
112265.45590400     0.149432377771740    -1.935241309394571
112265.45625500     0.150150842682358    -1.939470207637382
112265.45660600     0.150874697160803    -1.943717813176343
112265.45695700     0.151603996044288    -1.947984249818291
112265.45730800     0.152338794775957    -1.952269641901607
112265.45765900     0.153079149596790    -1.956574115368293
112265.45801000     0.153825117466603    -1.960897797247828
112265.45836100     0.154576755981095    -1.965240815126898
112265.45871200     0.155334123568451    -1.969603298236076
112265.45906300     0.156097279408861    -1.973985376926994
112265.45941400     0.156866283349966    -1.978387182135099
112265.45976500     0.157641196108320    -1.982808846481241
112265.46011600     0.158422079187402    -1.987250503742014
112265.46046700     0.159208994791429    -1.991712288305422
112265.46081800     0.160002006031835    -1.996194336287658
112265.46116900     0.160801176843754    -2.000696784996502
112265.46152000     0.161606571898151    -2.005219772379735
112265.46187100     0.162418256813517    -2.009763438157434
112265.46222200     0.163236298070763    -2.014327923278282
112265.46257300     0.164060762923661    -2.018913369360591
112265.46292400     0.164891719615913    -2.023519919840428
112265.46327500     0.165729237294443    -2.028147719420702
112265.46362600     0.166573385918097    -2.032796913504641
112265.46397700     0.167424236480288    -2.037467649360075
112265.46432800     0.168281860920653    -2.042160075561162
112265.46467900     0.169146332031965    -2.046874341414146
112265.46503000     0.170017723688566    -2.051610598138171
112265.46538100     0.170896110756338    -2.056368998299449
112265.46573200     0.171781568997821    -2.061149695229196
112265.46608300     0.172674175306605    -2.065952844221256
112265.46643400     0.173574007615624    -2.070778601958621
112265.46678500     0.174481144800390    -2.075627125923326
112265.46713600     0.175395666919616    -2.080498575611285
112265.46748700     0.176317655121751    -2.085393111950970
112265.46783800     0.177247191546339    -2.090310896705110
112265.46818900     0.178184359571056    -2.095252093703109
112265.46854000     0.179129243716492    -2.100216868251696
112265.46889100     0.180081929545560    -2.105205386528291
112265.46924200     0.181042503917215    -2.110217816831330
112265.46959300     0.182011054889430    -2.115254328982775
112265.46994400     0.182987671616626    -2.120315093712898
112265.47029500     0.183972444610322    -2.125400283928971
112265.47064600     0.184965465640266    -2.130510074109390
112265.47099700     0.185966827629849    -2.135644639679759
112265.47134800     0.186976624923941    -2.140804158300265
112265.47169900     0.187994953188155    -2.145988809251304
112265.47205000     0.189021909302203    -2.151198772800621
112265.47240100     0.190057591635181    -2.156434231509814
112265.47275200     0.191102099942936    -2.161695369611230
112265.47310300     0.192155535259321    -2.166982372366009
112265.47345400     0.193218000179235    -2.172295427390096
112265.47380500     0.194289598754033    -2.177634724022235
112265.47415600     0.195370436380652    -2.183000452672692
112265.47450700     0.196460620092695    -2.188392806169217
